ID|NAME|CITY|ZIPCODE|BBAN|LOCALE|BANK_COUNTRY|IBAN|COUNTRY_CALLING_CODE|MSISDN|PHONE_NUMBER|PYFLOAT|ANDROID_PLATFORM_TOKEN
247017|Kyle Lynn|South Rhondachester|56024|OYGY78175377897049|as_IN|GB|GB95IGVG63288552924978|+509|1360725794872|001-107-193-0666x025|-461.1718574585|Android 2.3.7
225395|Joshua Hamilton|East Matthew|46588|QQWF87896638241362|zh_CN|GB|GB26GEAL36346076370809|+373|0634636214993|001-962-375-3323x00177|-1170096421663.88|Android 2.3.2
868768|John Sutton|Wallaceberg|62035|FAXQ78328419045734|iw_IL|GB|GB85YCEG89985753454013|+247|4731328919143|074.008.7805|685.682391956796|Android 2.3.3
839330|Lucas Gonzalez|New Heathermouth|33873|OXQS67729030544185|se_NO|GB|GB36XPAO65477007437929|+256|5029702181255|(686)231-8316x841|18.3883575772202|Android 8.0.0
837002|Jordan Butler|Hickstown|36269|EDFR23034136942362|wal_ET|GB|GB05HGQM78963884052912|+357|4702617371016|555-431-9123x93257|70.940973262285|Android 3.0
193317|Ms. Phyllis Delacruz|Carpenterberg|21975|UTLO71861640417002|ky_KG|GB|GB19QIHX30621108092115|+380|0259840495457|680.220.1557x72381|3233426727378.93|Android 2.0
929944|Kevin Wade|Katieville|29379|VMMY26398426874398|dv_MV|GB|GB33UPAK94114836140579|+262 269|6725615443815|945-322-0297x3445|-37834.5202147064|Android 4.1.2
760842|Christopher Palmer|Wendyburgh|91710|JCUN70811847818109|bem_ZM|GB|GB76SPMP60153565112198|+350|2211398160256|373-100-6439|8846102662336.1|Android 5.1
365735|Timothy Blevins|Westview|80206|GDPI49188359265242|cv_RU|GB|GB88ZJJS58404368607497|+66|9160536862550|9955658372|954630857.319532|Android 11
506225|Derek Wheeler|East Kelly|79865|AJTV41253738400110|ayc_PE|GB|GB69HGXG33631605689926|+973|8108850029521|+1-438-272-6141x979|554593010626.965|Android 11
398540|Tyler Wilson|Lake Ricardomouth|77146|YHXB90317411349143|ja_JP|GB|GB15OLSI91237964063456|+881 8|1280021004980|(250)632-6958x9967|-76.6423323954835|Android 7.1.1
689276|David Hamilton|East Shannonmouth|80584|HQQU58858453904048|yue_HK|GB|GB33YXGU87785214109917|+594|8642741798621|+1-782-758-4837x364|-14517101023.4141|Android 4.3
986434|Peter Lynn|Willisbury|76671|JBRZ45334473487305|es_BO|GB|GB48GDNR29109454537718|+682|2429116000508|+1-882-697-3596|-940700330.67892|Android 2.3.6
388810|Bruce Newton|Aprilside|19474|DSQC05590486142080|mi_NZ|GB|GB52MFAH18443550219418|+808|5962825343402|001-385-518-5543|-770140605853.471|Android 9
215524|Carrie Arnold|East Robert|72839|NDWE90040582912364|mai_IN|GB|GB72QLBK84360840278379|+870|7208042068568|7417386073|14738797407558.3|Android 2.3.5
281797|Tammy Peterson|West Brandi|88228|PKMI59148282164923|lo_LA|GB|GB45TAVE09220913828345|+56|3977293836547|001-742-545-9484x7135|-75295.4351107142|Android 1.0
124300|Anthony Osborne|South Michael|87970|RLNP94187887414120|pap_AW|GB|GB53OQSE00036845769522|+973|0599582544478|0653116162|104.826635296924|Android 5.1.1
652140|Heather Thomas|West Rebeccaburgh|11697|GHVJ63462159921860|pap_AW|GB|GB50XKGE06439346535607|+855|7659013988585|2535959068|-6897423202.9775|Android 1.6
627983|Katherine Cannon|Luceroshire|73082|TJFU86648873480666|xh_ZA|GB|GB42DQPJ61842947206064|+86|1372660070649|735.718.9190x9520|-65443056807.9018|Android 1.6
271714|Michele Edwards|Robertsborough|63958|OCXA29772025171815|tr_TR|GB|GB32TYCS64340282731065|+672 1|9443712119792|+1-958-912-7644|59430335.9066155|Android 2.3.5
845170|Robin Parsons|East Gabrielchester|93783|ZEHJ22460992680406|bho_IN|GB|GB94XEPF30682610807499|+371|7744625087279|+1-805-580-9153x34113|70205301926292.1|Android 3.2
935292|Patricia Carlson|Jacobchester|25875|GBTQ24384963475590|bhb_IN|GB|GB84XIBT78189308599881|+7 7|7007763556799|3618011261|-14161131661519.4|Android 4.0.4
812309|Corey Porter|New Troyberg|65193|PRYS57120692317601|wa_BE|GB|GB69CPFD86415379020912|+378|6527726144044|001-940-758-9613|-200107.30734914|Android 3.2.4
767206|Elizabeth Munoz|Andreaview|04013|VLTF43802854576664|quz_PE|GB|GB64LJEP10245355387590|+91|0124232706569|869.485.1345x9711|46796.682720259|Android 2.2.1
624086|Stephanie Hill|Atkinsontown|40287|MCUZ65676615187110|hne_IN|GB|GB11GFFD98680643701500|+502|6538512306185|001-153-215-0158x6039|-45126.4619118748|Android 7.1.1
446863|Sharon Webb|South Christopher|28697|KBRJ95142007068995|byn_ER|GB|GB64QUGH11491652530163|+853|8161048751424|+1-937-538-6569x744|550019225.490749|Android 4.0.4
551730|Sherri Hall|South Juan|41934|PTRM13739698261979|uk_UA|GB|GB86YSYI51769524211057|+679|3827356854099|951.696.6802|-533.44054359009|Android 3.2.1
441860|Tyler Livingston|North Phillipborough|04959|EOVO67746087552801|hi_IN|GB|GB12NMKB54272459353554|+226|5544751968913|+1-636-693-4677x511|-32093160.1545929|Android 3.1
